2023-07-30 19:26:37,1.50%,46.03°C
2023-07-30 19:26:38,1.50%,46.06°C
2023-07-30 19:26:39,1.50%,46.08°C
2023-07-30 19:26:40,0.00%,46.09°C
2023-07-30 19:26:42,21.80%,46.12°C
2023-07-30 19:26:43,0.80%,46.18°C
2023-07-30 19:26:44,48.70%,46.33°C
2023-07-30 19:26:45,2.50%,46.37°C
2023-07-30 19:26:47,0.80%,46.38°C
2023-07-30 19:26:48,16.30%,46.45°C
2023-07-30 19:26:49,22.50%,46.46°C
2023-07-30 19:26:50,0.00%,46.48°C
2023-07-30 19:26:52,0.80%,46.50°C
2023-07-30 19:26:53,0.00%,46.52°C
2023-07-30 19:26:54,0.80%,46.66°C
2023-07-30 19:26:55,0.80%,46.67°C
2023-07-30 19:26:57,0.80%,46.68°C
2023-07-30 19:26:58,1.60%,46.72°C
2023-07-30 19:26:59,0.00%,46.74°C
2023-07-30 19:27:00,2.30%,46.76°C
2023-07-30 19:27:02,7.10%,46.79°C
2023-07-30 19:27:03,4.20%,46.82°C
2023-07-30 19:27:04,0.80%,46.90°C
2023-07-30 19:27:05,2.40%,46.93°C
2023-07-30 19:27:07,0.80%,46.95°C
2023-07-30 19:27:08,3.20%,46.98°C
2023-07-30 19:27:09,0.80%,47.04°C
2023-07-30 19:27:10,0.00%,47.07°C
2023-07-30 19:27:11,7.50%,47.10°C
2023-07-30 19:31:57,44.20%,-127.00°C
2023-07-30 19:31:58,27.30%,-127.00°C
2023-07-30 19:31:59,0.80%,-127.00°C
2023-07-30 19:32:01,0.00%,42.62°C
2023-07-30 19:32:02,0.00%,42.59°C
2023-07-30 19:32:03,0.80%,42.56°C
2023-07-30 19:32:04,0.00%,42.54°C
2023-07-30 19:32:05,0.00%,42.53°C
2023-07-30 19:32:06,0.00%,42.52°C
2023-07-30 19:32:08,0.00%,42.49°C
2023-07-30 19:32:09,0.00%,42.48°C
2023-07-30 19:32:10,3.80%,42.47°C
2023-07-30 19:32:11,0.00%,42.47°C
2023-07-30 19:32:12,0.00%,42.49°C
2023-07-30 19:32:14,0.80%,42.50°C
2023-07-30 19:32:15,2.40%,42.51°C
2023-07-30 19:32:16,0.80%,42.52°C
2023-07-30 19:32:17,1.50%,42.53°C
2023-07-30 19:32:19,6.00%,42.65°C
2023-07-30 19:32:20,1.50%,42.68°C
2023-07-30 19:32:21,37.90%,42.79°C
2023-07-30 19:32:23,18.40%,42.84°C
2023-07-30 19:32:24,22.50%,42.92°C
2023-07-30 19:32:25,4.60%,42.99°C
2023-07-30 19:32:27,20.30%,43.13°C
2023-07-30 19:32:28,0.00%,43.18°C
2023-07-30 19:32:29,3.40%,43.64°C
2023-07-30 19:32:30,14.80%,43.67°C
2023-07-30 19:32:31,1.60%,43.77°C
2023-07-30 19:32:33,0.80%,43.80°C
2023-07-30 19:32:34,3.80%,43.84°C
2023-07-30 19:32:35,2.40%,43.88°C
2023-07-30 19:32:36,1.60%,43.92°C
2023-07-30 19:32:38,12.20%,44.01°C
2023-07-30 19:32:39,0.00%,44.27°C
2023-07-30 19:32:40,0.00%,44.31°C
2023-07-30 19:32:41,8.30%,44.36°C
2023-07-30 19:32:43,15.30%,44.44°C
2023-07-30 19:32:44,25.40%,44.50°C
2023-07-30 19:32:45,9.30%,44.57°C
2023-07-30 19:32:46,0.80%,44.61°C
2023-07-30 19:32:48,2.30%,44.69°C
2023-07-30 19:32:49,0.80%,44.97°C
2023-07-30 19:32:50,5.50%,45.00°C
2023-07-30 19:32:51,11.90%,45.04°C
2023-07-30 19:32:53,1.50%,45.11°C
2023-07-30 19:32:54,0.00%,45.13°C
2023-07-30 19:32:55,0.00%,45.17°C
2023-07-30 19:32:56,0.80%,45.21°C
2023-07-30 19:32:58,6.10%,45.29°C
2023-07-30 19:37:43,58.80%,-127.00°C
2023-07-30 19:37:44,20.20%,-127.00°C
2023-07-30 19:37:46,3.10%,-127.00°C
2023-07-30 19:37:47,0.00%,40.93°C
2023-07-30 19:37:48,2.40%,40.90°C
2023-07-30 19:37:49,1.60%,40.89°C
2023-07-30 19:37:50,1.60%,40.88°C
2023-07-30 19:37:51,1.60%,40.87°C
2023-07-30 19:37:53,0.80%,40.87°C
2023-07-30 19:37:54,0.80%,40.88°C
2023-07-30 19:37:55,0.80%,40.91°C
2023-07-30 19:37:56,4.80%,40.91°C
2023-07-30 19:37:58,3.10%,40.92°C
2023-07-30 19:37:59,2.40%,40.94°C
2023-07-30 19:38:00,6.20%,40.98°C
2023-07-30 19:38:01,20.50%,41.00°C
2023-07-30 19:38:02,0.80%,41.04°C
2023-07-30 19:38:04,0.00%,41.05°C
2023-07-30 19:38:05,7.30%,41.27°C
2023-07-30 19:38:06,2.50%,41.29°C
2023-07-30 19:38:07,6.60%,41.31°C
2023-07-30 19:38:09,0.00%,41.34°C
2023-07-30 19:38:10,1.60%,41.39°C
2023-07-30 19:38:11,0.00%,41.42°C
2023-07-30 19:38:12,1.60%,41.45°C
2023-07-30 19:38:14,10.20%,41.47°C
2023-07-30 19:38:15,39.30%,41.75°C
2023-07-30 19:38:16,9.40%,41.80°C
2023-07-30 19:38:17,0.80%,41.84°C
